Date, Time, Latitude, Longitude, Altitude, Satellites, HDOP, PDOP, Temperature [C], Speed [km/h], TTFF, SNR AVG, SNR MAX
06/28/2021, 02:27:00,52.1412733,-6.59947,0,8,1,1.3,17,1.852,26,34,41
06/28/2021, 02:32:14,52.1442333,-6.61378,-4,8,1,1.3,14,20.372,11,37,41
06/28/2021, 02:37:25,52.14509,-6.6160683,-8,8,1,1.3,14,1.852,9,37,40
06/28/2021, 02:42:38,52.14068,-6.6674633,-4,8,1,1.3,14,59.264,10,36,40
06/28/2021, 02:47:49,52.1344017,-6.7237117,0,8,0.9,1.3,15,37.04,9,36,40
06/28/2021, 02:53:02,52.1251433,-6.754345,0,5,1.8,2,15,33.336,10,35,42
06/28/2021, 02:58:13,52.11526,-6.7229667,-2,8,0.9,1.3,15,29.632,9,35,40
06/28/2021, 03:03:25,52.1146883,-6.7748283,-6,4,1.8,2.1,15,46.3,10,36,41
06/28/2021, 03:08:38,52.106445,-6.7822933,0,8,0.9,1.2,15,35.188,10,37,41
06/28/2021, 03:13:50,52.09327,-6.7416333,-2,4,2.1,2.3,15,31.484,10,37,40
06/28/2021, 03:19:01,52.093455,-6.744945,4,8,0.9,1.2,16,1.852,9,36,43
06/28/2021, 03:24:13,52.093645,-6.7478667,-4,8,0.9,1.2,17,0,10,37,42
06/28/2021, 03:29:25,52.0937117,-6.7509133,-2,7,1.1,1.3,18,1.852,10,39,42
06/28/2021, 03:34:38,52.093765,-6.7539183,-2,7,1.1,1.3,18,1.852,10,39,41
06/28/2021, 03:39:49,52.0938517,-6.756815,-2,7,1,1.3,18,1.852,9,38,41
06/28/2021, 03:45:01,52.0939683,-6.759695,-2,7,1,1.3,18,0,10,38,41
06/28/2021, 03:50:13,52.09407,-6.7623617,-8,6,1,1.4,18,1.852,10,37,42
06/28/2021, 03:55:26,52.0941917,-6.76506,0,7,1,1.3,19,1.852,10,36,41
06/28/2021, 04:00:38,52.0943433,-6.7677217,0,6,1.6,1.8,19,0,10,36,41
06/28/2021, 04:05:49,52.0944633,-6.7702133,4,6,1.5,1.8,19,1.852,9,34,40
06/28/2021, 04:11:01,52.0946083,-6.7725333,6,6,1.1,1.3,18,1.852,10,36,41
06/28/2021, 04:16:13,52.0947367,-6.7748017,4,5,1.6,1.8,18,1.852,10,35,42
06/28/2021, 04:21:26,52.094885,-6.776905,2,4,1.8,2,18,0,10,36,41
06/28/2021, 04:26:37,52.0950383,-6.77903,4,4,1.7,1.9,18,0,9,33,41
06/28/2021, 04:31:49,52.0951833,-6.7811317,2,5,1.4,1.7,18,1.852,10,34,40
06/28/2021, 04:37:02,52.0953617,-6.783135,2,4,1.6,1.8,18,1.852,11,36,41
06/28/2021, 04:42:20,52.095635,-6.78495,2,4,1.5,1.7,18,0,15,35,40
06/28/2021, 04:47:32,52.0959233,-6.7867633,4,4,1.5,1.7,16,1.852,10,34,42
06/28/2021, 04:53:00,52.0840583,-6.7414983,10,5,1.4,1.7,14,31.484,26,35,40
06/28/2021, 04:58:14,52.06745,-6.7872617,4,5,1.4,1.7,14,59.264,12,36,42
06/28/2021, 05:03:29,52.04866,-6.8313567,0,5,1.6,2.7,14,29.632,12,37,42
06/28/2021, 05:08:43,52.047455,-6.8078467,2,5,1.4,1.6,15,1.852,12,37,41
06/28/2021, 05:13:55,52.0474017,-6.810245,0,5,1.4,1.6,17,1.852,10,37,40
06/28/2021, 05:19:07,52.047655,-6.8125167,-20,4,2.2,2.4,18,1.852,10,35,41
06/28/2021, 05:24:20,52.04789,-6.8147833,-26,4,2.1,2.3,18,0,10,35,41
